#id,name,price,materials,package,num,type,flowerWord,recommend
#red rose,,,,,,,,
rrqdck,情窦初开,442,红玫瑰,礼盒,19,创意礼盒,死生契阔，与子成说。执子之手，与子偕老。,1
rradyj,爱到永久,412,红玫瑰,单面,19,精美花束,无论世界如何在改变，我都爱你每个日月年，牵你手直到幸福到永远,1
rraqhzw,爱情海之吻,442,康乃馨,礼盒,29,创意礼盒,愿得一心人，白头不相离。,1
rraqzs,爱情证书,442,康乃馨,单面,19,精美花束,玲珑骰子安红豆，入骨相思知不知。,0
rrcxs,长相思,442,红玫瑰,礼盒,39,创意礼盒,欲把相思说似谁，浅情人不知,0
rrhzl,海之恋,442,蓝色妖姬,花束,49,精美花束,还君明珠双泪垂，恨不相逢未嫁时。,0
rrkllr,克拉恋人,442,康乃馨,花束,19,精美花束,取次花丛懒回顾，半缘修道半缘君。,0
rrlq,恋曲,442,红玫瑰,礼盒,59,创意礼盒,君问归期未有期，巴山夜雨涨秋池。,0
rrqcfy,青春飞扬,442,郁金香,花束,79,精美花束,我住长江头，君住长江尾。,0
rrtcdj,天长地久,442,红玫瑰,花束,19,精美花束,只愿君心似我心，定不负相思意。,0
rrxhxyt,邂逅西雅图,442,红玫瑰,花束,99,精美花束,恨君不似江楼月，南北东西，南北东西，只有相随无别离。,0
